time,islands_size,island_capacity,islands_distance,islands_diversity,individual_count
1,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[0, 0]","[0, 0]"
2,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[2, 0]","[2, 0]"
3,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[3, 1]","[3, 1]"
4,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[3, 1]","[3, 1]"
5,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[4, 2]","[4, 2]"
6,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[5, 2]","[5, 2]"
7,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[5, 2]","[5, 2]"
8,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[5, 2]","[5, 2]"
9,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[5, 3]","[5, 3]"
10,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[5, 4]","[5, 4]"
11,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[5, 4]","[5, 4]"
12,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[5, 4]","[5, 4]"
13,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[5, 4]","[5, 4]"
14,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[5, 4]","[5, 4]"
15,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[5, 4]","[5, 4]"
16,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[5, 4]","[5, 4]"
17,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[5, 5]","[5, 5]"
18,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[5, 6]","[5, 6]"
19,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[5, 6]","[5, 6]"
20,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[6, 6]","[6, 6]"
21,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[6, 6]","[6, 6]"
22,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[6, 6]","[6, 6]"
23,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[7, 6]","[7, 6]"
24,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[7, 6]","[7, 6]"
25,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[7, 6]","[7, 6]"
26,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[8, 6]","[8, 6]"
27,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[8, 8]","[8, 8]"
28,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[9, 8]","[9, 8]"
29,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[10, 8]","[10, 8]"
30,"[10207.034531513238, 32047.38665926948]","[1020, 3204]","[456.31677593531447, 557.8530272392542]","[10, 8]","[10, 8]"
